Symbol,Trades,Accuracy,Annual_Return,Avg_Holding_Days,Category
COSMOFIRST,6,0.0,,221.5,Moderate
CREATIVEYE,20,35.0,-0.14651091996344745,31.75,Does NOT Follow
CYBERTECH,5,40.0,,189.0,Moderate
DALMIASUG,6,16.666666666666664,-0.5032311956223005,155.5,Does NOT Follow
DATAMATICS,6,33.33333333333333,0.1177610324582592,126.0,Moderate
DATAPATTNS,6,66.66666666666666,0.31025973715022204,168.83333333333334,Follows SuperTrend
DBL,5,40.0,-0.18000540359311057,167.6,Does NOT Follow
DBREALTY,5,60.0,0.6501669673105583,212.0,Follows SuperTrend
DCAL,7,42.857142857142854,-0.036487527899190186,157.57142857142858,Does NOT Follow
DCBBANK,6,16.666666666666664,-0.17841107874095663,85.0,Does NOT Follow
DCI,16,62.5,0.9460273149564051,67.625,Follows SuperTrend
DCMFINSERV,10,50.0,0.5524372892297245,86.9,Follows SuperTrend
DCMNVL,5,20.0,-0.12418063321491257,122.8,Does NOT Follow
DEEPAKFERT,5,20.0,0.4124789672262712,115.2,Moderate
DEEPAKNTR,7,57.14285714285714,0.08534875515791085,78.28571428571429,Moderate
DELTACORP,8,0.0,,119.5,Moderate
DEVIT,10,40.0,0.3065300401020197,137.7,Moderate
DHANBANK,5,20.0,0.16702851172134725,237.8,Moderate
DIACABS,6,50.0,2.7426433824887244,154.83333333333334,Follows SuperTrend
DISHTV,6,33.33333333333333,-0.615308725495719,137.16666666666666,Does NOT Follow
DIVISLAB,5,40.0,0.17678852921503596,138.8,Moderate
DIXON,7,57.14285714285714,0.36984892177972983,104.28571428571429,Follows SuperTrend
DLF,7,14.285714285714285,-0.05680023739733375,92.0,Does NOT Follow
DOLLAR,5,40.0,0.07490797516900383,175.8,Moderate
DRCSYSTEMS,10,30.0,0.33668685597291836,34.6,Moderate
DREAMFOLKS,6,16.666666666666664,-0.43457578707053457,115.16666666666667,Does NOT Follow
DRREDDY,6,50.0,0.023113711809154003,169.83333333333334,Moderate
DUCON,5,40.0,-0.17739737799143984,111.0,Does NOT Follow
DWARKESH,5,40.0,-0.18146611068075935,102.6,Does NOT Follow
